"","city","state","city_size","mode","n","percent","moe","state_abb","state_region"
"1766","Alhambra city","California","Small","Walk",734,1.8,0.4,"CA","West"
"1767","Aliso Viejo city","California","Small","Walk",392,1.5,0.6,"CA","West"
"1768","Allen city","Texas","Small","Walk",237,0.6,0.3,"TX","South"
"1769","Allen Park city","Michigan","Small","Walk",114,1,0.5,"MI","North Central"
"1770","Alliance city","Ohio","Small","Walk",266,3,1.2,"OH","North Central"
"1771","Alpharetta city","Georgia","Small","Walk",497,1.7,0.9,"GA","South"
"1772","Altamonte Springs city","Florida","Small","Walk",558,2.5,1,"FL","South"
"1773","Alton city","Illinois","Small","Walk",151,1.4,0.8,"IL","North Central"
"1774","Altoona city","Pennsylvania","Small","Walk",772,4,1.1,"PA","Northeast"
"1775","Alvin city","Texas","Small","Walk",199,1.9,1.1,"TX","South"
"1776","American Fork city","Utah","Small","Walk",193,1.9,0.7,"UT","West"
"1777","Ames city","Iowa","Small","Walk",3382,10.5,1.3,"IA","North Central"
"1778","Anderson city","Indiana","Small","Walk",953,4.4,0.9,"IN","North Central"
"1779","Anderson city","South Carolina","Small","Walk",438,4.1,1.6,"SC","South"
"1780","Andover city","Minnesota","Small","Walk",19,0.1,0.1,"MN","North Central"
"1781","Ankeny city","Iowa","Small","Walk",144,0.6,0.3,"IA","North Central"
"1782","Annapolis city","Maryland","Small","Walk",806,3.9,1,"MD","South"
"1783","Anniston city","Alabama","Small","Walk",147,1.7,0.6,"AL","South"
"1784","Apache Junction city","Arizona","Small","Walk",103,0.9,0.7,"AZ","West"
"1785","Apex town","North Carolina","Small","Walk",201,1.1,0.7,"NC","South"
"1786","Apopka city","Florida","Small","Walk",122,0.6,0.4,"FL","South"
"1787","Apple Valley city","Minnesota","Small","Walk",172,0.6,0.3,"MN","North Central"
"1788","Apple Valley town","California","Small","Walk",87,0.4,0.3,"CA","West"
"1789","Appleton city","Wisconsin","Small","Walk",1391,3.8,0.7,"WI","North Central"
"1790","Arcadia city","California","Small","Walk",304,1.2,0.5,"CA","West"
"1791","Ardmore city","Oklahoma","Small","Walk",280,2.7,1.1,"OK","South"
